time, name, version, hash_source, hash_binary
20150501042823,acpi,1.7-1,d7a504b61c716ae5b7e81a0c67a50a51f06c7326f197b66a4b823de076a35005,cdd532f3d247ee6d79497392a2059c65fa4b3cc0393aa5423e175c22ba928108
20150501042823,acpid,1:2.0.23-2,72c7ba55085d3d96eeac24c5e61af3d432e36c5f399e96a61ba9c92d91ac66d9,56fcd7e0ef1ee669b24b6b036e222d6be87692b9470490b80bd9a4d40cbdef0f
20150501042823,attr,1:2.4.47-2,6c1208035757f5ce9b516402dd45b8299a53ae4d69ad2c352116f9cb8d7bc274,61145cceba621b3967e51170936e3d42acf9757ef539ff785fdbc0e31801042e
