hosts,bf,closewait,delay,depth,groupsize,rounds,runwait,servers,ChildrenWait_system_min,ChildrenWait_system_max,ChildrenWait_system_avg,ChildrenWait_system_sum,ChildrenWait_system_dev,ChildrenWait_user_min,ChildrenWait_user_max,ChildrenWait_user_avg,ChildrenWait_user_sum,ChildrenWait_user_dev,ChildrenWait_wall_min,ChildrenWait_wall_max,ChildrenWait_wall_avg,ChildrenWait_wall_sum,ChildrenWait_wall_dev,bandwidth_root_rx_min,bandwidth_root_rx_max,bandwidth_root_rx_avg,bandwidth_root_rx_sum,bandwidth_root_rx_dev,bandwidth_root_tx_min,bandwidth_root_tx_max,bandwidth_root_tx_avg,bandwidth_root_tx_sum,bandwidth_root_tx_dev,bandwidth_rx_min,bandwidth_rx_max,bandwidth_rx_avg,bandwidth_rx_sum,bandwidth_rx_dev,bandwidth_tx_min,bandwidth_tx_max,bandwidth_tx_avg,bandwidth_tx_sum,bandwidth_tx_dev,round_system_min,round_system_max,round_system_avg,round_system_sum,round_system_dev,round_user_min,round_user_max,round_user_avg,round_user_sum,round_user_dev,round_wall_min,round_wall_max,round_wall_avg,round_wall_sum,round_wall_dev,setup_system_min,setup_system_max,setup_system_avg,setup_system_sum,setup_system_dev,setup_user_min,setup_user_max,setup_user_avg,setup_user_sum,setup_user_dev,setup_wall_min,setup_wall_max,setup_wall_avg,setup_wall_sum,setup_wall_dev
640,2,3600,100,9,48,1,3600,4,0.216178,0.216178,0.216178,0.216178,NaN,1.223634,1.223634,1.223634,1.223634,NaN,4.232146,4.232146,4.232146,4.232146,NaN,593543.000000,593543.000000,593543.000000,593543.000000,NaN,907312.000000,907312.000000,907312.000000,907312.000000,NaN,533442.000000,662932.000000,550111.859459,305312082.000000,20276.526376,528444.000000,1028612.000000,549065.478339,304182275.000000,61176.191962,3.205240,3.205240,3.205240,3.205240,NaN,259.385430,259.385430,259.385430,259.385430,NaN,11.126759,11.126759,11.126759,11.126759,NaN,3.706100,3.706100,3.706100,3.706100,NaN,176.214636,176.214636,176.214636,176.214636,NaN,21.952023,21.952023,21.952023,21.952023,NaN
640,2,3600,100,9,64,1,3600,4,0.269794,0.269794,0.269794,0.269794,NaN,1.204430,1.204430,1.204430,1.204430,NaN,4.230369,4.230369,4.230369,4.230369,NaN,943914.000000,943914.000000,943914.000000,943914.000000,NaN,1398498.000000,1398498.000000,1398498.000000,1398498.000000,NaN,881946.000000,1062772.000000,895217.676609,570253660.000000,15239.133637,873307.000000,1615218.000000,894523.150706,569811247.000000,84183.389809,4.703376,4.703376,4.703376,4.703376,NaN,436.347254,436.347254,436.347254,436.347254,NaN,17.557409,17.557409,17.557409,17.557409,NaN,7.379379,7.379379,7.379379,7.379379,NaN,390.269848,390.269848,390.269848,390.269848,NaN,24.588646,24.588646,24.588646,24.588646,NaN
768,2,3600,100,9,16,1,3600,4,0.322300,0.322300,0.322300,0.322300,NaN,1.265926,1.265926,1.265926,1.265926,NaN,4.262176,4.262176,4.262176,4.262176,NaN,137421.000000,137421.000000,137421.000000,137421.000000,NaN,231967.000000,231967.000000,231967.000000,231967.000000,NaN,73027.000000,192477.000000,81784.218586,62483143.000000,18560.347070,71124.000000,295968.000000,81915.526178,62583462.000000,31461.332995,0.759704,0.759704,0.759704,0.759704,NaN,50.029033,50.029033,50.029033,50.029033,NaN,2.443620,2.443620,2.443620,2.443620,NaN,1.727116,1.727116,1.727116,1.727116,NaN,36.327640,36.327640,36.327640,36.327640,NaN,6.334507,6.334507,6.334507,6.334507,NaN
768,2,3600,100,9,32,1,3600,4,0.279993,0.279993,0.279993,0.279993,NaN,1.416161,1.416161,1.416161,1.416161,NaN,4.417130,4.417130,4.417130,4.417130,NaN,310715.000000,310715.000000,310715.000000,310715.000000,NaN,482120.000000,482120.000000,482120.000000,482120.000000,NaN,244484.000000,353449.000000,253916.129412,194245839.000000,14108.713596,240313.000000,571922.000000,253910.139869,194241257.000000,41938.092757,1.956507,1.956507,1.956507,1.956507,NaN,157.613772,157.613772,157.613772,157.613772,NaN,5.977306,5.977306,5.977306,5.977306,NaN,3.215709,3.215709,3.215709,3.215709,NaN,124.909677,124.909677,124.909677,124.909677,NaN,12.105766,12.105766,12.105766,12.105766,NaN
768,2,3600,100,9,48,1,3600,4,0.402384,0.402384,0.402384,0.402384,NaN,1.420061,1.420061,1.420061,1.420061,NaN,4.418094,4.418094,4.418094,4.418094,NaN,583316.000000,583316.000000,583316.000000,583316.000000,NaN,851339.000000,851339.000000,851339.000000,851339.000000,NaN,514791.000000,623604.000000,525035.721569,401652327.000000,12666.093804,507840.000000,1000940.000000,524837.316340,401500547.000000,60103.187549,3.475733,3.475733,3.475733,3.475733,NaN,313.069417,313.069417,313.069417,313.069417,NaN,11.964876,11.964876,11.964876,11.964876,NaN,4.627128,4.627128,4.627128,4.627128,NaN,210.747626,210.747626,210.747626,210.747626,NaN,19.141720,19.141720,19.141720,19.141720,NaN
768,2,3600,100,9,64,1,3600,4,0.365176,0.365176,0.365176,0.365176,NaN,1.296327,1.296327,1.296327,1.296327,NaN,4.259751,4.259751,4.259751,4.259751,NaN,954232.000000,954232.000000,954232.000000,954232.000000,NaN,1369956.000000,1369956.000000,1369956.000000,1369956.000000,NaN,883402.000000,1121226.000000,897090.328105,686274101.000000,19612.363508,873034.000000,1540201.000000,896578.989542,685882927.000000,80037.629220,5.881944,5.881944,5.881944,5.881944,NaN,524.279534,524.279534,524.279534,524.279534,NaN,20.825435,20.825435,20.825435,20.825435,NaN,8.182950,8.182950,8.182950,8.182950,NaN,475.077096,475.077096,475.077096,475.077096,NaN,27.186480,27.186480,27.186480,27.186480,NaN
896,2,3600,100,9,16,1,3600,4,0.379292,0.379292,0.379292,0.379292,NaN,1.529480,1.529480,1.529480,1.529480,NaN,4.248953,4.248953,4.248953,4.248953,NaN,147664.000000,147664.000000,147664.000000,147664.000000,NaN,254159.000000,254159.000000,254159.000000,254159.000000,NaN,72845.000000,208530.000000,82656.244121,73812026.000000,21432.405064,70760.000000,319126.000000,82790.209406,73931657.000000,35955.724480,0.933746,0.933746,0.933746,0.933746,NaN,59.475186,59.475186,59.475186,59.475186,NaN,2.770815,2.770815,2.770815,2.770815,NaN,1.917440,1.917440,1.917440,1.917440,NaN,43.498112,43.498112,43.498112,43.498112,NaN,8.326603,8.326603,8.326603,8.326603,NaN
896,2,3600,100,9,32,1,3600,4,0.396862,0.396862,0.396862,0.396862,NaN,1.649825,1.649825,1.649825,1.649825,NaN,4.427662,4.427662,4.427662,4.427662,NaN,320970.000000,320970.000000,320970.000000,320970.000000,NaN,488030.000000,488030.000000,488030.000000,488030.000000,NaN,244939.000000,377605.000000,254133.598655,226687170.000000,15818.570205,239221.000000,579506.000000,254156.311659,226707430.000000,43213.259654,2.088415,2.088415,2.088415,2.088415,NaN,181.291532,181.291532,181.291532,181.291532,NaN,7.142181,7.142181,7.142181,7.142181,NaN,3.959904,3.959904,3.959904,3.959904,NaN,147.898297,147.898297,147.898297,147.898297,NaN,16.142300,16.142300,16.142300,16.142300,NaN
896,2,3600,100,9,48,1,3600,4,0.403662,0.403662,0.403662,0.403662,NaN,1.618393,1.618393,1.618393,1.618393,NaN,4.263728,4.263728,4.263728,4.263728,NaN,613440.000000,613440.000000,613440.000000,613440.000000,NaN,948292.000000,948292.000000,948292.000000,948292.000000,NaN,534147.000000,946331.000000,568411.994395,507023499.000000,84040.592317,527045.000000,1309709.000000,568148.134529,506788136.000000,105663.692375,4.341687,4.341687,4.341687,4.341687,NaN,368.972938,368.972938,368.972938,368.972938,NaN,14.546642,14.546642,14.546642,14.546642,NaN,5.512048,5.512048,5.512048,5.512048,NaN,297.507230,297.507230,297.507230,297.507230,NaN,31.114387,31.114387,31.114387,31.114387,NaN
896,2,3600,100,9,64,1,3600,4,0.393292,0.393292,0.393292,0.393292,NaN,1.697243,1.697243,1.697243,1.697243,NaN,4.262230,4.262230,4.262230,4.262230,NaN,964562.000000,964562.000000,964562.000000,964562.000000,NaN,1317742.000000,1317742.000000,1317742.000000,1317742.000000,NaN,883038.000000,1013505.000000,896080.564390,800199944.000000,15105.937252,873580.000000,1547730.000000,895655.581187,799820434.000000,78539.961148,6.614098,6.614098,6.614098,6.614098,NaN,613.702040,613.702040,613.702040,613.702040,NaN,21.234902,21.234902,21.234902,21.234902,NaN,8.812687,8.812687,8.812687,8.812687,NaN,540.976936,540.976936,540.976936,540.976936,NaN,33.736785,33.736785,33.736785,33.736785,NaN
1024,2,3600,100,10,16,1,3600,4,0.407446,0.407446,0.407446,0.407446,NaN,1.791662,1.791662,1.791662,1.791662,NaN,4.430352,4.430352,4.430352,4.430352,NaN,157828.000000,157828.000000,157828.000000,157828.000000,NaN,269843.000000,269843.000000,269843.000000,269843.000000,NaN,73209.000000,243130.000000,83439.286275,85108072.000000,24147.838053,70760.000000,358638.000000,83583.676471,85255350.000000,40242.542579,0.956793,0.956793,0.956793,0.956793,NaN,68.677954,68.677954,68.677954,68.677954,NaN,3.263053,3.263053,3.263053,3.263053,NaN,2.346644,2.346644,2.346644,2.346644,NaN,53.086466,53.086466,53.086466,53.086466,NaN,9.137398,9.137398,9.137398,9.137398,NaN
1024,2,3600,100,10,32,1,3600,4,0.373369,0.373369,0.373369,0.373369,NaN,1.849215,1.849215,1.849215,1.849215,NaN,4.422709,4.422709,4.422709,4.422709,NaN,331420.000000,331420.000000,331420.000000,331420.000000,NaN,461562.000000,461562.000000,461562.000000,461562.000000,NaN,245212.000000,392684.000000,255028.550441,260384150.000000,18143.064706,239949.000000,604673.000000,255108.518119,260465797.000000,44655.400146,2.681584,2.681584,2.681584,2.681584,NaN,207.015048,207.015048,207.015048,207.015048,NaN,8.134444,8.134444,8.134444,8.134444,NaN,4.008985,4.008985,4.008985,4.008985,NaN,136.714412,136.714412,136.714412,136.714412,NaN,17.382348,17.382348,17.382348,17.382348,NaN
1024,2,3600,100,10,48,1,3600,4,0.324765,0.324765,0.324765,0.324765,NaN,1.814496,1.814496,1.814496,1.814496,NaN,4.421237,4.421237,4.421237,4.421237,NaN,603658.000000,603658.000000,603658.000000,603658.000000,NaN,851662.000000,851662.000000,851662.000000,851662.000000,NaN,514404.000000,982823.000000,549340.119491,560876262.000000,90926.029840,507567.000000,1243798.000000,549208.286974,560741661.000000,106329.031964,5.571943,5.571943,5.571943,5.571943,NaN,434.927144,434.927144,434.927144,434.927144,NaN,15.514551,15.514551,15.514551,15.514551,NaN,6.480133,6.480133,6.480133,6.480133,NaN,322.131229,322.131229,322.131229,322.131229,NaN,30.806788,30.806788,30.806788,30.806788,NaN
1024,2,3600,100,10,64,1,3600,4,0.390117,0.390117,0.390117,0.390117,NaN,1.902563,1.902563,1.902563,1.902563,NaN,4.425511,4.425511,4.425511,4.425511,NaN,974937.000000,974937.000000,974937.000000,974937.000000,NaN,1283247.000000,1283247.000000,1283247.000000,1283247.000000,NaN,884232.000000,1046883.000000,897379.293830,916224259.000000,17980.714290,874035.000000,1534197.000000,896962.648384,915798864.000000,78286.507281,7.564136,7.564136,7.564136,7.564136,NaN,705.903215,705.903215,705.903215,705.903215,NaN,26.038136,26.038136,26.038136,26.038136,NaN,9.834600,9.834600,9.834600,9.834600,NaN,630.323782,630.323782,630.323782,630.323782,NaN,37.764239,37.764239,37.764239,37.764239,NaN
