hosts,bf,closewait,delay,depth,groupsize,rounds,runwait,servers,ChildrenWait_system_min,ChildrenWait_system_max,ChildrenWait_system_avg,ChildrenWait_system_sum,ChildrenWait_system_dev,ChildrenWait_user_min,ChildrenWait_user_max,ChildrenWait_user_avg,ChildrenWait_user_sum,ChildrenWait_user_dev,ChildrenWait_wall_min,ChildrenWait_wall_max,ChildrenWait_wall_avg,ChildrenWait_wall_sum,ChildrenWait_wall_dev,bandwidth_root_rx_min,bandwidth_root_rx_max,bandwidth_root_rx_avg,bandwidth_root_rx_sum,bandwidth_root_rx_dev,bandwidth_root_tx_min,bandwidth_root_tx_max,bandwidth_root_tx_avg,bandwidth_root_tx_sum,bandwidth_root_tx_dev,bandwidth_rx_min,bandwidth_rx_max,bandwidth_rx_avg,bandwidth_rx_sum,bandwidth_rx_dev,bandwidth_tx_min,bandwidth_tx_max,bandwidth_tx_avg,bandwidth_tx_sum,bandwidth_tx_dev,round_system_min,round_system_max,round_system_avg,round_system_sum,round_system_dev,round_user_min,round_user_max,round_user_avg,round_user_sum,round_user_dev,round_wall_min,round_wall_max,round_wall_avg,round_wall_sum,round_wall_dev,setup_system_min,setup_system_max,setup_system_avg,setup_system_sum,setup_system_dev,setup_user_min,setup_user_max,setup_user_avg,setup_user_sum,setup_user_dev,setup_wall_min,setup_wall_max,setup_wall_avg,setup_wall_sum,setup_wall_dev
129,2,3600,100,7,16,1,3600,4,0.020383,0.020383,0.020383,0.020383,NaN,0.025958,0.025958,0.025958,0.025958,NaN,24.218873,24.218873,24.218873,24.218873,NaN,149665.000000,149665.000000,149665.000000,149665.000000,NaN,134366.000000,134366.000000,134366.000000,134366.000000,NaN,72916.000000,189091.000000,82755.418605,10675449.000000,14845.400522,70991.000000,174523.000000,82755.418605,10675449.000000,18064.448928,0.000892,0.000892,0.000892,0.000892,NaN,0.271748,0.271748,0.271748,0.271748,NaN,3.735065,3.735065,3.735065,3.735065,NaN,0.029995,0.029995,0.029995,0.029995,NaN,0.196950,0.196950,0.196950,0.196950,NaN,25.060309,25.060309,25.060309,25.060309,NaN
129,2,3600,100,7,64,1,3600,4,0.017528,0.017528,0.017528,0.017528,NaN,0.057388,0.057388,0.057388,0.057388,NaN,18.633744,18.633744,18.633744,18.633744,NaN,917687.000000,917687.000000,917687.000000,917687.000000,NaN,1406219.000000,1406219.000000,1406219.000000,1406219.000000,NaN,895829.000000,1144008.000000,972560.310078,125460280.000000,54230.327779,882343.000000,1514004.000000,972560.310078,125460280.000000,140270.585046,0.016655,0.016655,0.016655,0.016655,NaN,3.220182,3.220182,3.220182,3.220182,NaN,14.082194,14.082194,14.082194,14.082194,NaN,0.114007,0.114007,0.114007,0.114007,NaN,1.801328,1.801328,1.801328,1.801328,NaN,65.460661,65.460661,65.460661,65.460661,NaN
257,2,3600,100,8,16,1,3600,4,0.018228,0.018228,0.018228,0.018228,NaN,0.067025,0.067025,0.067025,0.067025,NaN,25.715734,25.715734,25.715734,25.715734,NaN,96652.000000,96652.000000,96652.000000,96652.000000,NaN,160221.000000,160221.000000,160221.000000,160221.000000,NaN,72916.000000,170242.000000,79489.023438,20349190.000000,9844.387289,70935.000000,176505.000000,79401.894531,20326885.000000,18505.570508,0.001886,0.001886,0.001886,0.001886,NaN,0.331606,0.331606,0.331606,0.331606,NaN,4.620351,4.620351,4.620351,4.620351,NaN,0.005190,0.005190,0.005190,0.005190,NaN,0.217522,0.217522,0.217522,0.217522,NaN,30.742065,30.742065,30.742065,30.742065,NaN
257,2,3600,100,8,64,1,3600,4,0.020307,0.020307,0.020307,0.020307,NaN,0.069222,0.069222,0.069222,0.069222,NaN,27.069801,27.069801,27.069801,27.069801,NaN,1011856.000000,1011856.000000,1011856.000000,1011856.000000,NaN,1336853.000000,1336853.000000,1336853.000000,1336853.000000,NaN,882350.000000,1169924.000000,936867.863281,239838173.000000,64424.603371,874087.000000,1595315.000000,935648.578125,239526036.000000,124082.608203,0.065939,0.065939,0.065939,0.065939,NaN,3.361479,3.361479,3.361479,3.361479,NaN,39.623063,39.623063,39.623063,39.623063,NaN,0.045713,0.045713,0.045713,0.045713,NaN,1.888401,1.888401,1.888401,1.888401,NaN,74.367785,74.367785,74.367785,74.367785,NaN
513,2,3600,100,9,16,1,3600,4,0.076979,0.076979,0.076979,0.076979,NaN,0.083448,0.083448,0.083448,0.083448,NaN,18.595481,18.595481,18.595481,18.595481,NaN,116881.000000,116881.000000,116881.000000,116881.000000,NaN,186551.000000,186551.000000,186551.000000,186551.000000,NaN,73005.000000,266391.000000,80970.134766,41456709.000000,15979.991911,70755.000000,235312.000000,80971.093750,41457200.000000,25439.092441,0.002592,0.002592,0.002592,0.002592,NaN,0.314892,0.314892,0.314892,0.314892,NaN,8.935394,8.935394,8.935394,8.935394,NaN,0.007582,0.007582,0.007582,0.007582,NaN,0.240932,0.240932,0.240932,0.240932,NaN,40.655423,40.655423,40.655423,40.655423,NaN
513,2,3600,100,9,64,1,3600,4,0.076979,0.076979,0.076979,0.076979,NaN,0.083448,0.083448,0.083448,0.083448,NaN,18.595481,18.595481,18.595481,18.595481,NaN,116881.000000,116881.000000,116881.000000,116881.000000,NaN,186551.000000,186551.000000,186551.000000,186551.000000,NaN,73005.000000,266391.000000,80970.134766,41456709.000000,15979.991911,70755.000000,235312.000000,80971.093750,41457200.000000,25439.092441,0.002592,0.002592,0.002592,0.002592,NaN,0.314892,0.314892,0.314892,0.314892,NaN,800.935394,800.935394,800.935394,800.935394,NaN,0.007582,0.007582,0.007582,0.007582,NaN,0.240932,0.240932,0.240932,0.240932,NaN,40.655423,40.655423,40.655423,40.655423,NaN
