hosts,bf,closewait,delay,depth,rounds,servers,ChildrenWait_system_min,ChildrenWait_system_max,ChildrenWait_system_avg,ChildrenWait_system_sum,ChildrenWait_system_dev,ChildrenWait_user_min,ChildrenWait_user_max,ChildrenWait_user_avg,ChildrenWait_user_sum,ChildrenWait_user_dev,ChildrenWait_wall_min,ChildrenWait_wall_max,ChildrenWait_wall_avg,ChildrenWait_wall_sum,ChildrenWait_wall_dev,bandwidth_root_rx_min,bandwidth_root_rx_max,bandwidth_root_rx_avg,bandwidth_root_rx_sum,bandwidth_root_rx_dev,bandwidth_root_tx_min,bandwidth_root_tx_max,bandwidth_root_tx_avg,bandwidth_root_tx_sum,bandwidth_root_tx_dev,bandwidth_rx_min,bandwidth_rx_max,bandwidth_rx_avg,bandwidth_rx_sum,bandwidth_rx_dev,bandwidth_tx_min,bandwidth_tx_max,bandwidth_tx_avg,bandwidth_tx_sum,bandwidth_tx_dev,round_system_min,round_system_max,round_system_avg,round_system_sum,round_system_dev,round_user_min,round_user_max,round_user_avg,round_user_sum,round_user_dev,round_wall_min,round_wall_max,round_wall_avg,round_wall_sum,round_wall_dev
129,8,6000,100,3,10,4,0.017335,0.017335,0.017335,0.017335,NaN,0.076807,0.076807,0.076807,0.076807,NaN,43.027410,43.027410,43.027410,43.027410,NaN,55666.000000,55666.000000,55666.000000,55666.000000,NaN,49825.000000,49825.000000,49825.000000,49825.000000,NaN,6857.000000,107950.000000,14919.077519,1924561.000000,18601.130184,7398.000000,74529.000000,14919.077519,1924561.000000,16638.449923,0.000000,0.007057,0.002260,0.022596,0.002817,0.001248,0.012328,0.007962,0.079623,0.003257,2.415394,2.419074,2.416928,24.169282,0.001069
257,8,6000,100,3,10,4,0.033176,0.033176,0.033176,0.033176,NaN,0.057961,0.057961,0.057961,0.057961,NaN,15.913686,15.913686,15.913686,15.913686,NaN,52160.000000,52160.000000,52160.000000,52160.000000,NaN,49440.000000,49440.000000,49440.000000,49440.000000,NaN,6856.000000,139195.000000,14824.735409,3809957.000000,21055.418955,7398.000000,83271.000000,14824.735409,3809957.000000,19104.114331,0.000000,0.006907,0.002877,0.028773,0.002676,0.004439,0.016050,0.008634,0.086342,0.003811,2.424822,2.438861,2.429771,24.297708,0.004911
513,8,6000,100,3,10,4,0.063244,0.063244,0.063244,0.063244,NaN,0.084944,0.084944,0.084944,0.084944,NaN,15.506606,15.506606,15.506606,15.506606,NaN,52160.000000,52160.000000,52160.000000,52160.000000,NaN,49440.000000,49440.000000,49440.000000,49440.000000,NaN,6856.000000,213951.000000,14831.360624,7608488.000000,22077.534402,7398.000000,91351.000000,14831.360624,7608488.000000,19685.696914,0.001347,0.018702,0.004937,0.049370,0.005094,0.000000,0.012490,0.007327,0.073267,0.003259,2.439736,2.448336,2.443015,24.430154,0.002734
