hosts, depth, bf, min, max, avg, stddev, systime, usertime, rate
2, 1, 2, 0.112706, 0.118808, 0.114350, 0.002218, 0.024001, 0.264016, 0.000000
4, 1, 3, 0.113017, 0.118609, 0.115709, 0.002035, 0.044002, 0.704044, 0.000000
8, 1, 4, 0.264327, 1.020160, 0.470186, 0.315142, 0.088005, 1.588099, 0.000000
16, 1, 5, 0.278361, 0.284617, 0.280414, 0.002274, 0.168010, 3.364210, 0.000000
32, 2, 6, 0.281783, 1.480326, 0.756090, 0.380424, 0.224014, 6.808425, 0.000000
64, 4, 7, 0.417980, 1.781253, 0.893860, 0.455710, 0.448028, 13.692855, 0.000000
128, 8, 8, 0.917827, 5.138615, 2.514137, 1.243044, 1.248078, 28.833802, 0.000000
256, 16, 9, 0.722709, 1.392938, 0.938467, 0.220868, 1.612100, 58.491655, 0.000000
512, 32, 10, 0.908672, 1.941835, 1.260980, 0.391580, 1.492093, 124.179760, 0.000000
