hosts,bf,depth,filter_round,rounds,servers,ChildrenWait_system_min,ChildrenWait_system_max,ChildrenWait_system_avg,ChildrenWait_system_sum,ChildrenWait_system_dev,ChildrenWait_user_min,ChildrenWait_user_max,ChildrenWait_user_avg,ChildrenWait_user_sum,ChildrenWait_user_dev,ChildrenWait_wall_min,ChildrenWait_wall_max,ChildrenWait_wall_avg,ChildrenWait_wall_sum,ChildrenWait_wall_dev,bandwidth_rx_min,bandwidth_rx_max,bandwidth_rx_avg,bandwidth_rx_sum,bandwidth_rx_dev,bandwidth_tx_min,bandwidth_tx_max,bandwidth_tx_avg,bandwidth_tx_sum,bandwidth_tx_dev,bandwidth_root_rx_min,bandwidth_root_rx_max,bandwidth_root_rx_avg,bandwidth_root_rx_sum,bandwidth_root_rx_dev,bandwidth_root_tx_min,bandwidth_root_tx_max,bandwidth_root_tx_avg,bandwidth_root_tx_sum,bandwidth_root_tx_dev,round_system_min,round_system_max,round_system_avg,round_system_sum,round_system_dev,round_user_min,round_user_max,round_user_avg,round_user_sum,round_user_dev,round_wall_min,round_wall_max,round_wall_avg,round_wall_sum,round_wall_dev
63,2,5,80,10,32,0.023953,0.023953,0.023953,0.023953,NaN,0.011936,0.011936,0.011936,0.011936,NaN,3.820278,3.820278,3.820278,3.820278,NaN,6186.000000,6186.000000,6186.000000,6186.000000,NaN,6756.000000,6756.000000,6756.000000,6756.000000,NaN,12160.000000,12160.000000,12160.000000,12160.000000,NaN,10600.000000,10600.000000,10600.000000,10600.000000,NaN,0.000215,0.014139,0.004017,0.040169,0.004140,0.039705,0.059933,0.051483,0.514827,0.006345,2.176885,2.192751,2.185408,21.854084,0.004837
364,3,5,80,10,32,0.005805,0.005805,0.005805,0.005805,NaN,0.151992,0.151992,0.151992,0.151992,NaN,3.426072,3.426072,3.426072,3.426072,NaN,5860.000000,28375.000000,12976.818182,142745.000000,9931.583608,6196.000000,27055.000000,13266.181818,145928.000000,9823.096374,18240.000000,18240.000000,18240.000000,18240.000000,NaN,15900.000000,15900.000000,15900.000000,15900.000000,NaN,0.006236,0.033462,0.015899,0.158994,0.010898,0.312043,0.368127,0.345123,3.451229,0.019434,2.213162,2.230310,2.222897,22.228973,0.005491
1365,4,5,80,10,32,0.049171,0.049171,0.049171,0.049171,NaN,0.622103,0.622103,0.622103,0.622103,NaN,3.633005,3.633005,3.633005,3.633005,NaN,5860.000000,37141.000000,22070.060976,1809745.000000,13243.011115,6196.000000,35040.000000,22190.300000,1775224.000000,12870.045666,24320.000000,24320.000000,24320.000000,24320.000000,NaN,21200.000000,21200.000000,21200.000000,21200.000000,NaN,0.025501,0.151699,0.079461,0.794613,0.049803,1.187955,1.716327,1.453621,14.536208,0.201413,2.332918,2.350746,2.341326,23.413261,0.005431
3906,5,5,80,10,32,0.163784,0.163784,0.163784,0.163784,NaN,2.131593,2.131593,2.131593,2.131593,NaN,4.629738,4.629738,4.629738,4.629738,NaN,5860.000000,46140.000000,14683.696203,1160012.000000,14898.887707,6196.000000,43261.000000,14853.784810,1173449.000000,14538.880206,30400.000000,30400.000000,30400.000000,30400.000000,NaN,26500.000000,26500.000000,26500.000000,26500.000000,NaN,0.208683,0.399977,0.282892,2.828917,0.064163,4.008566,4.653056,4.414556,44.145563,0.232567,2.600193,2.631597,2.615980,26.159796,0.009909
9331,6,5,80,10,32,0.587822,0.587822,0.587822,0.587822,NaN,5.979974,5.979974,5.979974,5.979974,NaN,5.920518,5.920518,5.920518,5.920518,NaN,5860.000000,106116.000000,28778.506329,2273502.000000,21434.003982,6196.000000,102459.000000,29091.166667,2269111.000000,20895.059329,36480.000000,36480.000000,36480.000000,36480.000000,NaN,31800.000000,31800.000000,31800.000000,31800.000000,NaN,0.220792,0.534260,0.341632,3.416317,0.087210,9.915045,10.347585,10.137725,101.377248,0.168206,3.131862,3.208379,3.176326,31.763257,0.026135
19608,7,5,80,10,32,1.169106,1.169106,1.169106,1.169106,NaN,14.368880,14.368880,14.368880,14.368880,NaN,10.372141,10.372141,10.372141,10.372141,NaN,5860.000000,146504.000000,40382.325472,8561053.000000,35215.929614,6196.000000,142068.000000,39587.547170,8392560.000000,33827.200797,42560.000000,42560.000000,42560.000000,42560.000000,NaN,37100.000000,37100.000000,37100.000000,37100.000000,NaN,0.542335,0.799337,0.688205,6.882046,0.093920,19.860290,20.791468,20.406387,204.063867,0.286990,4.757319,7.656971,5.645842,56.458420,0.961806
37449,8,5,80,10,32,4.374870,4.374870,4.374870,4.374870,NaN,76.195958,76.195958,76.195958,76.195958,NaN,51.770134,51.770134,51.770134,51.770134,NaN,5861.000000,336787.000000,62674.305405,23189493.000000,67559.789811,6196.000000,331800.000000,61834.427027,22878738.000000,65976.543411,48640.000000,48640.000000,48640.000000,48640.000000,NaN,42400.000000,42400.000000,42400.000000,42400.000000,NaN,1.084942,1.453959,1.215761,12.157609,0.124997,40.229906,40.798979,40.460066,404.600656,0.183942,6.174432,8.862372,7.233352,72.333518,0.987980
