hosts, servers, bf, closewait, depth, hosts, rounds, ChildrenWait_wall_min, ChildrenWait_wall_max, ChildrenWait_wall_avg, ChildrenWait_wall_dev, ChildrenWait_user_min, ChildrenWait_user_max, ChildrenWait_user_avg, ChildrenWait_user_dev, ChildrenWait_system_min, ChildrenWait_system_max, ChildrenWait_system_avg, ChildrenWait_system_dev, round_wall_min, round_wall_max, round_wall_avg, round_wall_dev, round_user_min, round_user_max, round_user_avg, round_user_dev, round_system_min, round_system_max, round_system_avg, round_system_dev
10, 16, 8, 6000, 2, 10, 1, 4.028604, 4.028604, 4.028604, NaN, 0.020090, 0.020090, 0.020090, NaN, 0.012442, 0.012442, 0.012442, NaN, 0.845677, 0.845677, 0.845677, NaN, 0.032568, 0.032568, 0.032568, NaN, 0.004846, 0.004846, 0.004846, NaN
hosts, servers, bf, closewait, depth, hosts, rounds, ChildrenWait_wall_min, ChildrenWait_wall_max, ChildrenWait_wall_avg, ChildrenWait_wall_dev, ChildrenWait_user_min, ChildrenWait_user_max, ChildrenWait_user_avg, ChildrenWait_user_dev, ChildrenWait_system_min, ChildrenWait_system_max, ChildrenWait_system_avg, ChildrenWait_system_dev, round_wall_min, round_wall_max, round_wall_avg, round_wall_dev, round_user_min, round_user_max, round_user_avg, round_user_dev, round_system_min, round_system_max, round_system_avg, round_system_dev
100, 16, 8, 6000, 3, 100, 1, 7.442020, 7.442020, 7.442020, NaN, 0.064439, 0.064439, 0.064439, NaN, 0.010064, 0.010064, 0.010064, NaN, 1.271263, 1.271263, 1.271263, NaN, 0.143595, 0.143595, 0.143595, NaN, 0.023629, 0.023629, 0.023629, NaN
