Peers, ppm, machines, setup_wall_min, setup_wall_max, setup_wall_avg, setup_wall_dev, setup_user_min, setup_user_max, setup_user_avg, setup_user_dev, setup_system_min, setup_system_max, setup_system_avg, setup_system_dev, round_wall_min, round_wall_max, round_wall_avg, round_wall_dev, round_user_min, round_user_max, round_user_avg, round_user_dev, round_system_min, round_system_max, round_system_avg, round_system_dev, calc_wall_min, calc_wall_max, calc_wall_avg, calc_wall_dev, calc_user_min, calc_user_max, calc_user_avg, calc_user_dev, calc_system_min, calc_system_max, calc_system_avg, calc_system_dev, verify_wall_min, verify_wall_max, verify_wall_avg, verify_wall_dev, verify_user_min, verify_user_max, verify_user_avg, verify_user_dev, verify_system_min, verify_system_max, verify_system_avg, verify_system_dev
2, 1, 2, 2.397439, 2.397439, 2.397439, NaN, 0.124534, 0.124534, 0.124534, NaN, 0.006239, 0.006239, 0.006239, NaN, 0.194293, 0.222541, 0.208527, 0.007728, 0.138768, 0.208153, 0.164090, 0.019193, 0.001459, 0.044902, 0.014416, 0.012331, 0.184380, 0.208747, 0.197324, 0.007187, 0.126970, 0.194060, 0.148809, 0.018535, 0.001006, 0.044206, 0.012623, 0.010779, 0.009039, 0.017052, 0.011072, 0.002333, 0.005734, 0.027199, 0.015058, 0.005129, 0.000000, 0.014216, 0.001777, 0.003591
4, 1, 4, 6.651993, 6.651993, 6.651993, NaN, 0.265560, 0.265560, 0.265560, NaN, 0.029646, 0.029646, 0.029646, NaN, 0.262851, 0.291899, 0.273428, 0.007015, 0.315927, 0.379851, 0.349210, 0.016786, 0.007188, 0.051677, 0.023519, 0.012808, 0.251866, 0.279127, 0.261698, 0.007151, 0.305107, 0.362997, 0.333409, 0.014768, 0.007186, 0.051434, 0.021036, 0.010922, 0.009312, 0.015359, 0.011605, 0.001775, 0.003385, 0.023488, 0.015664, 0.005015, 0.000000, 0.020192, 0.002474, 0.005639
8, 1, 8, 15.130473, 15.130473, 15.130473, NaN, 0.502210, 0.502210, 0.502210, NaN, 0.056133, 0.056133, 0.056133, NaN, 0.367613, 0.449967, 0.407381, 0.018466, 0.584314, 0.797691, 0.713349, 0.065375, 0.020499, 0.074622, 0.038002, 0.015910, 0.357904, 0.435609, 0.395307, 0.017981, 0.570199, 0.783850, 0.695350, 0.065651, 0.016263, 0.074595, 0.036539, 0.016409, 0.008905, 0.017352, 0.011929, 0.002439, 0.010102, 0.027402, 0.017782, 0.004858, 0.000000, 0.004400, 0.001036, 0.001669
16, 1, 16, 32.389777, 32.389777, 32.389777, NaN, 1.549186, 1.549186, 1.549186, NaN, 0.056969, 0.056969, 0.056969, NaN, 0.836199, 0.925270, 0.886369, 0.025274, 1.813738, 2.000662, 1.930708, 0.046469, 0.050668, 0.202956, 0.123222, 0.039649, 0.825698, 0.915108, 0.874527, 0.024707, 1.794865, 1.977796, 1.913864, 0.045486, 0.050663, 0.202918, 0.120091, 0.040423, 0.008851, 0.017172, 0.011712, 0.002616, 0.000000, 0.026943, 0.016702, 0.006297, 0.000000, 0.032923, 0.002921, 0.007472
32, 2, 16, 66.919845, 66.919845, 66.919845, NaN, 4.698705, 4.698705, 4.698705, NaN, 0.282331, 0.282331, 0.282331, NaN, 2.030647, 2.180065, 2.102133, 0.037102, 5.563220, 6.041708, 5.795832, 0.143031, 0.221923, 0.425958, 0.329386, 0.053250, 2.019191, 2.170032, 2.090838, 0.036923, 5.541585, 6.028336, 5.776852, 0.143227, 0.221566, 0.425682, 0.327763, 0.053464, 0.009791, 0.016109, 0.011136, 0.001705, 0.013129, 0.026588, 0.018820, 0.003719, 0.000000, 0.007901, 0.001614, 0.002350
64, 4, 16, 136.376448, 136.376448, 136.376448, NaN, 16.708153, 16.708153, 16.708153, NaN, 0.657086, 0.657086, 0.657086, NaN, 6.692511, 8.925953, 8.368092, 0.451116, 17.966398, 20.031975, 18.669261, 0.518542, 0.678844, 1.070072, 0.842968, 0.096255, 6.679808, 8.916025, 8.356960, 0.451647, 17.944380, 20.025989, 18.651125, 0.520918, 0.678782, 1.049950, 0.841054, 0.094024, 0.009465, 0.015983, 0.010948, 0.001527, 0.005739, 0.023461, 0.017925, 0.003961, 0.000000, 0.020111, 0.001905, 0.004773
