time, name, version, hash_source, binaries, binaries_size
20160921034243,flex,2.5.39-8+deb8u2,962e5a161df9195e2ac751218e9aa720,"flex flex-doc libfl-dev",1236876
20160921034243,fontconfig,2.11.0-6.3+deb8u1,09cc0e152a9d59570f93e0873bf04bbc,"fontconfig fontconfig-config fontconfig-udeb libfontconfig1-dev libfontconfig1 libfontconfig1-dbg",2413538
20160921034243,foomatic-filters,4.0.17-5+deb8u1,7025675b2e16a75f2d580f9b76917e8f,"foomatic-filters",158784
20160921034243,freeimage,3.15.4-4.2,a326c3ce39d51fd0b244188a7f038a02,"libfreeimage-dev libfreeimage3 libfreeimage3-dbg",2751194
20160921034243,freetype,2.5.2-3+deb8u1,cd5d3efcc73e221e68992b7b062d77ac,"libfreetype6 libfreetype6-dev freetype2-demos libfreetype6-udeb",1198118
20160921034243,freexl,1.0.0g-1+deb8u3,f2f3f79a0fba260aa44f9fa31b08dc0b,"libfreexl-dev libfreexl1 libfreexl1-dbg",112986
20160921034243,fuse,2.9.3-15+deb8u2,a8bdaf61521e09b622224a21e91d1d6a,"fuse fuse-dbg libfuse2 libfuse-dev fuse-udeb libfuse2-udeb",664294
20160921034243,fusionforge,5.3.2+20141104-3+deb8u1,9c61e1ab47de47addc2a8f1d9f2d423b,"fusionforge-standard fusionforge-minimal fusionforge-full gforge gforge-common gforge-web-apache2 gforge-web-apache2-vhosts gforge-db-postgresql gforge-db-remote gforge-mta-exim4 gforge-mta-postfix gforge-shell-postgresql gforge-ftp-proftpd gforge-dns-bind9 gforge-lists-mailman fusionforge-plugin-admssw fusionforge-plugin-authcas fusionforge-plugin-authhttpd fusionforge-plugin-authldap fusionforge-plugin-blocks fusionforge-plugin-compactpreview fusionforge-plugin-contribtracker fusionforge-plugin-doaprdf fusionforge-plugin-extsubproj fusionforge-plugin-foafprofiles fusionforge-plugin-globalsearch fusionforge-plugin-gravatar fusionforge-plugin-headermenu fusionforge-plugin-hudson fusionforge-plugin-mediawiki fusionforge-plugin-message fusionforge-plugin-moinmoin fusionforge-plugin-projectlabels fusionforge-plugin-scmarch fusionforge-plugin-scmbzr fusionforge-plugin-scmcvs fusionforge-plugin-scmdarcs fusionforge-plugin-scmgit fusionforge-plugin-scmhg fusionforge-plugin-scmhook fusionforge-plugin-scmsvn fusionforge-plugin-sysauthldap",5986886
20160921034243,gajim,0.16-1+deb8u1,560e4d77d2133cbafd141ffdbf0251a7,"gajim",3024896
20160921034243,ganeti,2.12.4-1+deb8u3,ae2faffa789c8551d832382c7a878c75,"ganeti2 ganeti ganeti-2.12 ganeti-haskell-2.12 ganeti-htools ganeti-htools-2.12 ganeti-doc python-ganeti-rapi",12932422
