time, name, version, hash_source, binaries, binaries_size
20120907153020,tar,1.26-4,daac5355b82fcf61306f58ff0585788e,"tar",981724
20120907153020,sysvinit,2.88dsf-31,ad43f1764230eff247477f60d995ef5f,"sysvinit sysvinit-utils sysv-rc initscripts bootlogd",455842
20120907153020,dpkg,1.16.8,9f8042561ecccd5124e5958a1e181de7,"libdpkg-dev dpkg dpkg-dev libdpkg-perl dselect",6271026
20120907153020,debconf,1.5.46,6978cc5f49a3fce6de8e53fc46a6a243,"debconf debconf-i18n debconf-doc debconf-utils",779664
20120907153020,dictionaries-common,1.12.10,c37954a6d98f3e6a6686a0780240c9f3,"dictionaries-common dictionaries-common-dev",431500
20120907153020,perl,5.14.2-12,9a4acdf6df60a69e429db42445244d66,"perl-base libcgi-fast-perl perl-doc perl-modules perl-debug libperl5.14 libperl-dev perl",28935386
20120907153020,pciutils,1:3.1.9-5,44423e490e15b3360bf5e38bf1d701c1,"pciutils libpci-dev libpci3 pciutils-udeb libpci3-udeb",415048
20120907153020,initramfs-tools,0.107,8e8c39bbdf51c85a3045c35c15084baa,"initramfs-tools",90350
20120907153020,ifupdown,0.7.2,b0886e3a8ba4757c5f579f678b6f23ac,"ifupdown",61622
20120907153020,psmisc,22.19-1,d65065ebd708f34b37a3564c93ec6584,"psmisc",134672
20120907153020,gvfs,1.12.3-1,c0fda2520e5116d678e599bb9979d88c,"gvfs gvfs-daemons gvfs-libs gvfs-common gvfs-fuse gvfs-backends gvfs-bin gvfs-dbg",5074130
20120907153020,geoip-database,20120809-1,8d6e617a724547492d947634bae813df,"geoip-database",2358998
20120907153020,eject,2.1.5+deb1+cvs20081104-11,20c77cab9012d3961243e39b3af87562,"eject eject-udeb",62040
20120917032731,perl,5.14.2-13,1ae326f8dbbf3272132b545e9e1e4e32,"perl-base libcgi-fast-perl perl-doc perl-modules perl-debug libperl5.14 libperl-dev perl",28935402
20120918184429,geoip-database,20120907-1,744dca536d1717d478f462ec4d61c460,"geoip-database",2352330
20121006032215,initramfs-tools,0.108,66795295972b5980aef59d0aceeace94,"initramfs-tools",91098
