Peers, depth, bf, round_wall_min, round_wall_max, round_wall_avg, round_wall_dev, round_system_avg, round_user_avg, rate
2, 1, 0, 0.155342, 0.163951, 0.159172, 0.002719, 0.012000, 0.480030, 0.000000
4, 1, 0, 0.240857, 0.268073, 0.247121, 0.007300, 0.004000, 1.300081, 0.000000
8, 1, 0, 0.581749, 0.691042, 0.600024, 0.030710, 0.052003, 3.736233, 0.000000
16, 1, 0, 2.124673, 2.266815, 2.156584, 0.039588, 0.128008, 13.184824, 0.000000
32, 2, 0, 8.454070, 8.660121, 8.557763, 0.066690, 0.264016, 52.611288, 0.000000
64, 4, 0, 35.594433, 40.953658, 38.186501, 1.206204, 1.036064, 259.648227, 0.000000
